Country Name,Country Code,Series,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,403.620942039241,..,..
Brazil,BRA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Brazil,BRA,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,13971.3840566101,14775.3693145019,..,..
Brazil,BRA,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,13971.3840566101,14775.3693145019,..,..
Brazil,BRA,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,13971.3840566101,14775.3693145019,..,..
Brazil,BRA,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,13971.3840566101,14775.3693145019,..,..
Brazil,BRA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,11564289,11276037,11167773,..,..
British Virgin Islands,VGB,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
British Virgin Islands,VGB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
British Virgin Islands,VGB,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
British Virgin Islands,VGB,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
British Virgin Islands,VGB,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
British Virgin Islands,VGB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
British Virgin Islands,VGB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Brunei Darussalam,BRN,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,430.984376616659,..,..
Brunei Darussalam,BRN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,572.22235,..,..,..,..
Brunei Darussalam,BRN,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Brunei Darussalam,BRN,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Brunei Darussalam,BRN,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Brunei Darussalam,BRN,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Brunei Darussalam,BRN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,9199,..,..
Bulgaria,BGR,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,424.073582875218,..,..
Bulgaria,BGR,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Bulgaria,BGR,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Bulgaria,BGR,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Bulgaria,BGR,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Bulgaria,BGR,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Bulgaria,BGR,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Burkina Faso,BFA,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
